,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Mid,Maturity,Time to Maturity,Type,Spot,Moneyness,Fed Funds Rate (%)
0,SPY210521C00165000,2021-04-09 2:15PM EDT,165.0,244.77,252.21,252.59,0.0,-,1,1,0.00%,252.4,2021-05-21,0.06575342465753424,C,417.61,2.530969696969697,0.07
1,SPY210521C00170000,2021-02-23 5:01PM EDT,170.0,218.36,219.85,220.58,0.0,-,2,0,0.00%,220.215,2021-05-21,0.06575342465753424,C,417.61,2.456529411764706,0.07
2,SPY210521C00185000,2021-02-24 4:58PM EDT,185.0,206.51,210.73,211.53,0.0,-,2,0,0.00%,211.13,2021-05-21,0.06575342465753424,C,417.61,2.2573513513513515,0.07
3,SPY210521C00200000,2021-04-14 10:41AM EDT,200.0,213.65,217.22,217.6,0.0,-,1,8,0.00%,217.41,2021-05-21,0.06575342465753424,C,417.61,2.08805,0.07
4,SPY210521C00210000,2021-02-26 5:02PM EDT,210.0,170.61,185.8,186.61,0.0,-,3,0,0.00%,186.205,2021-05-21,0.06575342465753424,C,417.61,1.9886190476190477,0.07
5,SPY210521C00215000,2021-03-22 10:58AM EDT,215.0,177.22,200.05,200.45,0.0,-,-,3,0.00%,200.25,2021-05-21,0.06575342465753424,C,417.61,1.942372093023256,0.07
6,SPY210521C00220000,2021-03-31 9:46AM EDT,220.0,176.21,197.23,197.61,0.0,-,1,2,0.00%,197.42000000000002,2021-05-21,0.06575342465753424,C,417.61,1.8982272727272729,0.07
7,SPY210521C00225000,2020-10-28 11:46AM EDT,225.0,107.77,138.16,140.01,0.0,-,-,5,0.00%,139.08499999999998,2021-05-21,0.06575342465753424,C,417.61,1.8560444444444446,0.07
8,SPY210521C00230000,2021-04-07 10:32AM EDT,230.0,176.9,187.23,187.61,0.0,-,33,33,0.00%,187.42000000000002,2021-05-21,0.06575342465753424,C,417.61,1.8156956521739132,0.07
9,SPY210521C00235000,2021-02-16 1:25PM EDT,235.0,158.17,156.38,157.48,0.0,-,2,1,0.00%,156.93,2021-05-21,0.06575342465753424,C,417.61,1.777063829787234,0.07
